filmId,titulo,tituloOriginal,ano,director,duracion,tipoAuditado,tmdbId,imdbId,imdbIdCampoPresente,votos,publico,diagnostico,imdbVerificado,ratingVerificado,urlCineteca
HO00008666,Deshilando luz,Deshilando Luz,2025,Valentina Pelayo Atilano,68,largometraje,1446468,,True,0,,"TMDB 1446468 aceptado, 0 votos; no hay imdbId. Sin candidato validado en el cruce por títulos. Esto no demuestra inexistencia en IMDb.",,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00008666&cinemas=003
HO00009847,"Oh, fortuna",Oh,2025,Luis Ayhllón,95,largometraje,1762928,tt40196240,True,0,,"TMDB 1762928, 0 votos; IMDb tt40196240 sí identificado, pero sin fila en ratings. IMDb lo fecha en 2026, Cineteca en 2025.",tt40196240,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009847&cinemas=003
HO00009561,Resurrection,Kuang ye shi dai,2025,Bi Gan,156,largometraje,1572413,,True,0,,"TMDB 1572413 aceptado, 0 votos y sin imdbId. IMDb tt29002950 validado por título, año y director: 7,2 / 5491 votos. TMDB también publica la ficha 878608 de Bi Gan; falta resolver por qué se eligió 1572413.",tt29002950,"{'value': 7.2, 'votes': 5491}",https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009561&cinemas=003
HO00009980,Shorts 2026: Competencia Mexicana de Animación 4,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009980&cinemas=003
HO00009967,Shorts 2026: Competencia Mexicana de Documental 4,COMPETENCIA MEXICANA DOCUMENTAL - PROGRAMA 4,2026,Varios,120,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009967&cinemas=003
HO00009999,Shorts 2026: Competencia Mexicana de Ficción 4,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009999&cinemas=003
HO00009987,Shorts 2026: Neomex 4,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009987&cinemas=003
HO00009555,Tus dos muertos,,2025,Daniel Castro Zimbrón,102,largometraje,1365486,,True,0,,"TMDB 1365486, 0 votos y sin imdbId. IMDb tt39054556 validado: 7,8 / 40 votos. Falta el enlace entre catálogos.",tt39054556,"{'value': 7.8, 'votes': 40}",https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009555&cinemas=003
HO00010050,El viaje de Marta,,2026,Daniel Muchiut,66,largometraje,1744536,,True,0,,"TMDB 1744536, 0 votos y sin imdbId. El homónimo de la prueba no valida la película de Daniel Muchiut de 2026. Sin identidad IMDb confirmada.",,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010050&cinemas=001
HO00009790,Las ruinas nuevas,,2024,Manuel Embalse,89,largometraje,1252645,,True,0,,"TMDB 1252645, 0 votos y sin imdbId. IMDb tt38733725 validado por título, año y director; sin fila en ratings. Añadir el ID no produce una nota.",tt38733725,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009790&cinemas=001
